city,pincode,district,state,country
Vegithota,533347,EAST GODAVARI,ANDHRA PRADESH,india
Venkatareddipeta,533352,EAST GODAVARI,ANDHRA PRADESH,india
Alligudem,533352,EAST GODAVARI,ANDHRA PRADESH,india
Bandirevu,533352,EAST GODAVARI,ANDHRA PRADESH,india
RAMAVARAM.,533347,EAST GODAVARI,ANDHRA PRADESH,india
PITCHUKULAPADU.,533352,EAST GODAVARI,ANDHRA PRADESH,india
NALLAKUNTA.,533351,Alluri Sitharama Raju,ANDHRA PRADESH,india
KARAKAGUDEM.,533351,Alluri Sitharama Raju,ANDHRA PRADESH,india
Pedamittapalli,533349,Alluri Sitharama Raju,ANDHRA PRADESH,india
Ummadivaram,533349,Alluri Sitharama Raju,ANDHRA PRADESH,india
Puligadda,521122,KRISHNA,ANDHRA PRADESH,india
Ramachandrapuram,521122,KRISHNA,ANDHRA PRADESH,india
Chinamuttevi,521136,KRISHNA,ANDHRA PRADESH,india
Chitturu,521150,KRISHNA,ANDHRA PRADESH,india
Maddipatla,521150,KRISHNA,ANDHRA PRADESH,india
Chitturupu,521132,KRISHNA,ANDHRA PRADESH,india
Hamsaladeevi,521328,KRISHNA,ANDHRA PRADESH,india
Lingareddipalem,521328,KRISHNA,ANDHRA PRADESH,india
Mandapakala,521328,KRISHNA,ANDHRA PRADESH,india
Salempalem,521328,KRISHNA,ANDHRA PRADESH,india
Endakuduru,521131,KRISHNA,ANDHRA PRADESH,india
Gudapadu,521135,KRISHNA,ANDHRA PRADESH,india
Chodavaram,521120,KRISHNA,ANDHRA PRADESH,india
Parrachivara,521120,KRISHNA,ANDHRA PRADESH,india
Kondiparru,521157,KRISHNA,ANDHRA PRADESH,india
Kurumaddali,521157,KRISHNA,ANDHRA PRADESH,india
Undrapudi,521157,KRISHNA,ANDHRA PRADESH,india
Kummaripalem,521130,KRISHNA,ANDHRA PRADESH,india
Karagraharam,521002,KRISHNA,ANDHRA PRADESH,india
Gundupalem,521003,KRISHNA,ANDHRA PRADESH,india
Vadapalem,521003,KRISHNA,ANDHRA PRADESH,india
Nagavaram,521331,KRISHNA,ANDHRA PRADESH,india
Arthamuru,521369,KRISHNA,ANDHRA PRADESH,india
Kanchadam,521369,KRISHNA,ANDHRA PRADESH,india
Chevendra,521366,KRISHNA,ANDHRA PRADESH,india
K.P.Lock,521366,KRISHNA,ANDHRA PRADESH,india
Kappaladoddi,521366,KRISHNA,ANDHRA PRADESH,india
Nadupuru,521366,KRISHNA,ANDHRA PRADESH,india
Rudravaram,521004,KRISHNA,ANDHRA PRADESH,india
Cheruvukommupalem,522659,Palnadu,ANDHRA PRADESH,india
Nagireddipalle,522659,Palnadu,ANDHRA PRADESH,india
Ravulapuram,522663,Palnadu,ANDHRA PRADESH,india
Manukondavaripalem,522616,Palnadu,ANDHRA PRADESH,india
Pasumarru,522616,Palnadu,ANDHRA PRADESH,india
Narmalapadu,522612,Palnadu,ANDHRA PRADESH,india
Unnava,522233,Palnadu,ANDHRA PRADESH,india
Gundepalle,522658,Palnadu,ANDHRA PRADESH,india
Gadevaripalle,522614,Palnadu,ANDHRA PRADESH,india
Gummanampadu,522614,Palnadu,ANDHRA PRADESH,india
Mellavagu,522614,Palnadu,ANDHRA PRADESH,india
Ayyannapalem,522614,Palnadu,ANDHRA PRADESH,india
Reddypalem,522614,Palnadu,ANDHRA PRADESH,india
Gangannapalem,522611,Palnadu,ANDHRA PRADESH,india
Kammavaripalem,522611,Palnadu,ANDHRA PRADESH,india
Rajapeta,522626,Palnadu,ANDHRA PRADESH,india
Jangalapalle,522234,Palnadu,ANDHRA PRADESH,india
Kothapalle,522615,Palnadu,ANDHRA PRADESH,india
Tripurapuram,522615,Palnadu,ANDHRA PRADESH,india
KOTHAPALEM,522615,Palnadu,ANDHRA PRADESH,india
Pathakothapalem,522660,Palnadu,ANDHRA PRADESH,india
Ramudipalem,522660,Palnadu,ANDHRA PRADESH,india
Hassannayunipalem,522649,Palnadu,ANDHRA PRADESH,india
Pitchikalapalem,522649,Palnadu,ANDHRA PRADESH,india
Pittambanda,522649,Palnadu,ANDHRA PRADESH,india
Talluru,522529,GUNTUR,ANDHRA PRADESH,india
Vemavaram,522529,GUNTUR,ANDHRA PRADESH,india
Lakkarajugarlapadu,522529,GUNTUR,ANDHRA PRADESH,india
Yerraguntlapadu,522529,GUNTUR,ANDHRA PRADESH,india
Annavaram,522603,Palnadu,ANDHRA PRADESH,india
Dechavaram,522603,Palnadu,ANDHRA PRADESH,india
Konakanchivaripalem,522617,Palnadu,ANDHRA PRADESH,india
Turumella,522617,Palnadu,ANDHRA PRADESH,india
Chandavaram,522549,Palnadu,ANDHRA PRADESH,india
Merikapudi,522549,GUNTUR,ANDHRA PRADESH,india
Guravayapalem,522549,Palnadu,ANDHRA PRADESH,india
Karumanchi,522646,Palnadu,ANDHRA PRADESH,india
Agnigundala,522647,Palnadu,ANDHRA PRADESH,india
Dondapadu,522647,Palnadu,ANDHRA PRADESH,india
Kondramutla,522647,Palnadu,ANDHRA PRADESH,india
Nirmalanagar,522647,Palnadu,ANDHRA PRADESH,india
Chintapalle,522409,Palnadu,ANDHRA PRADESH,india
Kogantivaripalem,522409,Palnadu,ANDHRA PRADESH,india
Bodanam,522411,Palnadu,ANDHRA PRADESH,india
Vannayapalem,522411,Palnadu,ANDHRA PRADESH,india
MANNESULTANPALEM,522411,Palnadu,ANDHRA PRADESH,india
Gogulapadu,522414,Palnadu,ANDHRA PRADESH,india
Ambapuram,522415,Palnadu,ANDHRA PRADESH,india
Gangavaram,522415,Palnadu,ANDHRA PRADESH,india
Madugula,522415,Palnadu,ANDHRA PRADESH,india
Gudipadu,522410,Palnadu,ANDHRA PRADESH,india
Konduru,522410,Palnadu,ANDHRA PRADESH,india
Konuru,522410,Palnadu,ANDHRA PRADESH,india
Pedapalem,522410,Palnadu,ANDHRA PRADESH,india
Peesapadu,522410,Palnadu,ANDHRA PRADESH,india
Talluru,522410,Palnadu,ANDHRA PRADESH,india
Vipparla,522410,Palnadu,ANDHRA PRADESH,india
Vutukuru,522410,Palnadu,ANDHRA PRADESH,india
GOGULAPADU,522410,Palnadu,ANDHRA PRADESH,india
Vemavaram,522435,Palnadu,ANDHRA PRADESH,india
Chennayapalem,522435,Palnadu,ANDHRA PRADESH,india
Gannavaram,522426,Palnadu,ANDHRA PRADESH,india
Kambhampadu,522426,Palnadu,ANDHRA PRADESH,india
Bedudur,516474,Y.S.R.,ANDHRA PRADESH,india
Tallapalle,522426,Palnadu,ANDHRA PRADESH,india
Zammalamadaka,522426,Palnadu,ANDHRA PRADESH,india
Korrapadu,522438,GUNTUR,ANDHRA PRADESH,india
Dammalapadu,522408,Palnadu,ANDHRA PRADESH,india
Kunduruvaripalem,522408,Palnadu,ANDHRA PRADESH,india
Bollavaram,522408,Palnadu,ANDHRA PRADESH,india
Bayyavaram,522402,Palnadu,ANDHRA PRADESH,india
Bhatluru,522402,Palnadu,ANDHRA PRADESH,india
Bhimavaram,522402,Palnadu,ANDHRA PRADESH,india
Nandigama,522402,Palnadu,ANDHRA PRADESH,india
Guttikonda,522413,Palnadu,ANDHRA PRADESH,india
Kothaganesunipadu,522413,Palnadu,ANDHRA PRADESH,india
Sitarampuram Mines,522413,Palnadu,ANDHRA PRADESH,india
Zulakallu,522413,Palnadu,ANDHRA PRADESH,india
BEERAVALLIPAYA,522413,Palnadu,ANDHRA PRADESH,india
Balijepalle,522412,Palnadu,ANDHRA PRADESH,india
Bodilaveedu,522613,Palnadu,ANDHRA PRADESH,india
Gottipalla,522613,Palnadu,ANDHRA PRADESH,india
Sirigiripadu,522613,Palnadu,ANDHRA PRADESH,india
Uppalapadu,522613,Palnadu,ANDHRA PRADESH,india
VAJRALAPADU,522613,Palnadu,ANDHRA PRADESH,india
Zakkepalligudur,524142,SPSR NELLORE,ANDHRA PRADESH,india
Talluru,524142,SPSR NELLORE,ANDHRA PRADESH,india
Katrayapadu,524240,SPSR NELLORE,ANDHRA PRADESH,india
